"BoxOffDomIA" "Anno" "Sequel" "Tipo" "Fonte" "Metodo_Prod" "Genere" "Rating" "Budget"
"Timeline 2003" 25.475784 2003 0 "Science Fiction" "Fiction Source" "Live Action" "Avventura" "PG-13" 80
"Time Code 2000" 1.383369 2000 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "R" NA
"Time Changer 2002" 1.717803 2002 0 "Fantasy" "Original Screenplay" "Live Action" "Drammatico" "PG" 0.825
"Tim Burton s The Nightmare Before Christmas 3D 2006" 28.74043 2006 0 "Fantasy" "Original Screenplay" "Hand Animation" "Musical" "PG" NA
"Thunderbirds 2004" 8.599027 2004 0 "Science Fiction" "TV" "Live Action" "Avventura" "PG" 55
"Thumbsucker 2005" 1.631021 2005 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Commedia" "R" 4
"Thr3e 2007" 1.15695 2007 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Thriller/Suspense" "PG-13" 2.4
"Thomas and the Magic Railroad 2000" 23.291359 2000 0 "Fantasy" "Fiction Source" "Animation/Live Action" "Avventura" "G" 19
"This Christmas 2007" 56.324043 2007 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "PG-13" 13
"Thirteen Ghosts 2001" 58.36364 2001 0 "Fantasy" "Original Screenplay" "Live Action" "Horror" "R" 19
"Thirteen Days 2000" 48.20932 2000 0 "Dramatization" "Real Life Events" "Live Action" "Drammatico" "PG-13" 80
"Thirteen Conversations About One Thing 2002" 4.464351 2002 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "R" 3
"Thirteen 2003" 6.018484 2003 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "R" 2
"Things We Lost in the Fire 2007" 3.769897 2007 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "R" 16
"They 2002" 17.428434 2002 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Horror" "PG-13" 17
"Therese 2004" 3.303906 2004 0 "Dramatization" "Real Life Events" "Live Action" "Drammatico" "PG" NA
"There Will Be Blood 2007" 44.220404 2007 0 "Historical Fiction" "Fiction Source" "Live Action" "Drammatico" "R" NA
"Then She Found Me 2008" 4.105128 2008 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" NA
"The Yards 2000" 1.29213 2000 0 NA NA "Live Action" "Drammatico" "R" 20
"The X-Files: I Want to Believe 2008" 23.057349 2008 1 "Science Fiction" "TV" "Live Action" "Azione" "PG-13" 35
"The Wrestler 2008" 27.664723 2008 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "R" 6
"The World s Fastest Indian 2005" 6.31215 2005 0 "Dramatization" "Real Life Events" "Live Action" "Drammatico" "PG-13" 25
"The Work and the Glory: American Zion 2005" 2.489666 2005 1 "Historical Fiction" "Fiction Source" "Live Action" "Drammatico" "PG-13" 6.5
"The Work and the Glory III: A House Divided 2006" 1.558591 2006 1 "Historical Fiction" "Fiction Source" "Live Action" "Drammatico" "PG" NA
"The Work and the Glory 2004" 4.166314 2004 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Drammatico" "PG" 7.5
